channel_id	name	weight
UC2zHjOF9Womes-SEjdzTleA	Google Earth	1
UCUpquzY878NEaZm5bc7m2sQ	Salesforce	16
UCMSfoJzq24tEKNfdB4GaIqg	Salesforce Events & Dreamforce	14
UCcB3bcWy0_QK7uPQvTD0LwQ	Video Creators	7
UCfM3zsQsOnfWNUppiycmBuw	EminemMusic	1
UCe9DTWmhhxeKyYHL4mldGcA	Cobra Kai	1
UCkM3cLfmWBSFoEU-xVnQ-dw	Step Up: High Water	2
UCGCPAOQDZa_TTTXDr5byjww	Joey Graceffa	10
UC4PooiX37Pld1T8J5SYT-SQ	Good Mythical Morning	5
UCfm4y4rHF5HGrSr-qbvOwOg	IISuperwomanII	11
UCGjylN-4QCpn8XJ1uY-UOgA	Daniel Howell	6
UCHUE4ypXKp7ZkmdWbGJNgJg	AmazingPhil	6
UCutXfzLC5wrV3SInT_tdY0w	Wong Fu Productions	9
UCzH3iADRIq1IJlIXjfNgTpA	Rooster Teeth	11
UCpko_-a4wgz2u_DgDgd9fqA	BuzzFeedVideo	14
UCWljxewHlJE3M7U_6_zFNyA	AwesomenessTV	6
UCbwMZHCMpBiOWfYLBOH-9Qw	TheOfficialLoganPaul	2
UCPDXXXJj9nax0fr0Wfc048g	CollegeHumor	14
UCYoKN0FOSrHo1qf4ZqlM2CA	BlackBoxTV	6
UCgefQJC5UgbWJHDxBqB4qVg	Jesse	12
UCNPCx6BWK0ID6UKO1QicOmQ	Mr Sark	17
UCq54nlcoX-0pLcN5RhxHyug	SeaNanners Gaming Channel	10
UC0v-tlzsn0QZwJnkiaUSJVQ	FBE	11
UCKqH_9mk1waLgBiL2vT5b9g	VanossGaming	17
UCOWAOUxf3XILuywxw60g5vA	LEGO FanTube	7
UC5EywsvPhdLUqTG80JxVUOQ	LEGO Discover	2
UC-P2nvnAm3kUQH43M_6GpDQ	LEGO Access	7
UCzVnXCLWqY5dtOBn9UZoFTw	LEGO Gaming	7
UCpeX7ds2tTpiRMwga0jUq8g	The LEGO Group	5
UCwEFuOAC8vDbILoL0hLk-8A	LEGO Family	1
UCQ4igMzWw0NDcFnbX037byA	LEGO Little Ones	7
UCDPk9MG2RexnOMGTD-YnSnA	Nat Geo WILD	37
UCXVCgDuD_QCkI7gTKU7-tpg	National Geographic Kids	36
UC0ED5C9OaHHlbpk55kNU5DQ	Genius	35
UCfDXsZ2-Wkd88QB8QloHDbw	Origins: The Journey of Humankind	34
UCwQgUb_Yu3_Mr1ENLDKZ5eg	Expedition Raw	35
UCqquLbFNHnJxjr8K-IVtfkw	LA 92	35
UCYlP8tjpJ7cqPOidoO-WAKQ	Explorer	35
UCII9X_DCYiUtzh82scaHNQw	Today I Learned	35
UCz5CCA2lIUyC1JMaTbQjH3g	National Geographic Live!	35
UCYlydCH0iL3qIVO3c1yI_Og	Gender Revolution	35
UCleyt4kLuF_rNaHVK-QERYw	Lawless Oceans	35
UCZPA8m3npPV3n3IBzqfWNsQ	The Story of God with Morgan Freeman	35
UCrv2jBdI8O7FsupfLp-znLQ	Uncensored with Michael Ware	35
UCXvV6b5FON_-bZX9kqCNc4Q	StarTalk	35
UCAH3_3Wxa87Xd-UNviLITUg	Continent 7: Antarctica	35
UCkElYLjL55RETPeVW4NxdmQ	MARS	35
UC95YHAjx2iskfIi-PsDhSKw	Ingredients With George Zaidan	35
UCjyvltFHz45H_ZvKod30zSw	Years of Living Dangerously	35
UC1wO5yxiENr0-xejvmQ-71g	Life Below Zero	35
UCa71nWoTCkt9JYyAOVVbm5w	Wicked Tuna	35
UCQiT2drDUu-X0gE13NoUxlw	Breakthrough	35
UCqgg3PeRb0JzUxe_F12MEKw	Live Free or Die	34
UCnwkesQ_9ONN3DFLefpBAVg	Killing Reagan	34
UCdEcOBxfk2LqkTC8OfU8mbA	Untamed with Filipe DeAndrade	35
UCZmtsNg5dz-JXckFT3BfwjQ	Love & Vets	34
UCy9vqEbSt-jtGDHvdiXjf0w	The Incredible Dr. Pol	35
UCi6VTDcDxYElEdzB-3yloHw	Destination WILD	35
UChR1fAm2PhP2UhRmtE0eWCg	Mission Critical	35
UC7QrQbJrL3CfG0L2ZqaRqUg	Big Cat Week	35
UCFep6PkHuIImohNclXuQgng	Puppy Days	35
UCko5ZU9k72vu-Mun-AdcGaw	Dr. Oakley, Yukon Vet	35
UCTf9X6j6ZsfeDQe_IVnyFQA	Animal Armory	35
UCn5myPc-e7CcPA2BuSKb16w	Savage Kingdom	35
UCQBBUy62BJntKMCvPesEmhA	World's Deadliest	35
UCtMgRLPL-nEaDy0LMCrfqtw	wild_life with bertie gregory	34
UCVK-Y-MisOoe2qWF-lYobmA	Dr. K's Exotic Animal ER	34
UCbRTUq5LGqbn4ngTTi9AnMQ	Scientific American Space Lab	1
UC7c8mE90qCtu11z47U0KErg	nature video	9
UC3CR9r7koQTTAlZBr5oOo-A	Spektrum der Wissenschaft	2
UCjHz5SVHeMT0AViCYZvsGDA	NOVA PBS Official	8
UCShHFwKyhcDo3g7hr4f1R8A	World Science Festival	4
UCc2DvtaARu_9cm3yn3cNNTw	Thomas James Ciotola	1
UCOQoqKhs4HIR0O-uKGJ3fww	TomOfAction	3
UC_PnB0UKSq9jqDZOpaWxdog	GetNuanced	2
UC0rZoXAD5lxgBHMsjrGwWWQ	Styxhexenhammer666	4
UCldfgbzNILYZA4dmDt4Cd6A	Secular Talk	20
UClHybiqQOzR8kUpg5BbnjdQ	Thersites the Historian	1
UCMmaBzfCCwZ2KqaBJjkj0fw	Kings and Generals	7
UCwnKziETDbHJtx78nIkfYug	CaspianReport	3
UCvPXiKxH-eH9xq-80vpgmKQ	Epic History TV	5
UCJdKr0Bgd_5saZYqLCa9mng	The Rubin Report	7
UCIjuLiLHdFxYtFmWlbTGQRQ	Peter Schiff	3
UCaeO5vkdj5xOQHp4UmIN6dw	The Daily Wire	2
UCxeY-wRrb65Jt37QHa5xMog	Matt Christiansen	2
UC1yBKRuGpC1tSM73A0ZjYjQ	The Young Turks	31
UC-yewGHQbNFpDrGM0diZOLA	Sargon of Akkad	6
UCgHa4owKisgdFHSpfzJ3l6A	TechTubeCentral	3
UC9aUuHpT8l_1o_so5mf1v7A	Todd Womack	2
UCaAFjpMtI4_c6DetJdlidQQ	2girls2minutes	3
UC7NV6LXCnEcDFx9QH-xPd1g	popspot	3
UCUrJTuFfXKKjVYLKHYQpCOA	iwantmylauren	9
UCK5OlUee3GVXV5QifSOfGzw	DerekD	3
UCtwKon9qMt5YLVgQt1tvJKg	Objectivity	2
UCtESv1e7ntJaLJYKIO1FoYw	Periodic Videos	17
UC9-y-6csu5WGm29I7JiwpnA	Computerphile	5
UCo-3ThNQmPmQSQL_L6Lx1_w	DeepSkyVideos	8
UCCAgrIbwcJ67zIow1pNF30A	nottinghamscience	12
UCyp1gCHZJU_fGWFf2rtMkCg	Numberphile2	1
UCnQtJro3IurKlxp7XSPqpaA	bibledex	7
UCUK0HBIBWgM2c4vsPhkYY4w	The Slow Mo Guys	7
UCivA7_KLKWo43tFcCkFvydw	Applied Science	9
UCmmPgObSUPw1HL2lq6H4ffA	Geography Now	1
UCeiYXex_fwgYDonaTcSIk6w	MinuteEarth	12
UCMnPZh6PyA5PSYoNt0cjuxg	MinutoDeFisica	5
UCUFOXx9UF0sqwtRrGxfy5ZA	MinutoDeLaTierra	4
UCspCdzaOYa7hW70w9rR-gzA	minutemandolin	1
UCkyfHZ6bY2TjqbJhiH8Y2QQ	thebrainscoop	18
UCG8q-OixC0dwcNSUboVAYqg	UnPuntoCircular	3
UCX6b17PVsYBQ0ip5gyeme-Q	CrashCourse	26
UCwez9XDNV_wS0WNDZteXjgw	Hello Internet	3
UCqoy014xOu7ICwgLWHd9BzQ	Cortex Podcast	4
UC127Qy2ulgASLYvW4AuHJZQ	CGPGrey2	2
UCzSBv-iml0SCoAE-6v2ReWQ	CGP Play	2
UCWUq6teKH18Iwuh41D75sQg	foodskey	2
UCP16wb-IThCVvM8D-Xx8HXA	BackstageScience	6
UC4_HPD_v8Id82lnBrX7w7lg	FavScientist	7
UCRwr1kxjL-8m1L6mQXB2zSQ	BradyStuff	1
UCXtxgWwk55kVJo9lCCZRdmg	Veritasium en espa\xc3\xb1ol	2
UC2LZO6swZ9SLUEOks3WnsfA	2veritasium	3
UCGRB1ZjIqAiaGwt-XLq9CnA	Sciencium	3
UCGaVdbSav8xWuFWTadK6loA	vlogbrothers	18
UCZYTClx2T1of7BRZ86-8fow	SciShow	21
UC4a-Gbdw7vOaccHmFo40b9g	Khan Academy	4
UCZdaZ6i5RRLvRo6s5q9SCUw	BlinkPopShift	1
UCt_t6FwNsqr3WWoL6dFqG9w	BrainCraft	15
UCtyqy6OSBEo7TcmtCOYD-gg	DxDutch	5
UCzNAswnSN0rZy79clU-DRPg	kipkay	5
UCeWgfJXzXpnNBNi9NI6GMfA	greeenpro	3
UCljCD9VDAO7TWUCyb69SL-Q	Dane Boe	7
UC1zZE_kJ8rQHgLTVfobLi_g	The King of Random	12
UCZ2ZEk_E9EEj1k8kxZxUZug	istealcandycane	1
UCueYUJlpa5DsBlgT1S-4z_Q	Julius Fhan	4
UCjQ0DhfvetzJxgxtTpUlQZg	faireset	3
UCYraBfUqw2O6qeNYRowX4UA	Ericsurf6	8
UCsVcVkaoIeJilVSKVB7Vnxw	J Dawg	3
UCte83i8I4jBVfgSIuHR2drQ	MickiConsiglio	5
UC3IFRa2lwtyfdeeIrRp1McA	filmester	4
UCrczLm9_Ww6_D4cK-4aghaw	thebdonski	1
UCXGgrKt94gR6lmN4aN3mYTg	Austin Evans	6
UCfgkjyiRVziU8a0YJXyMJ_g	Olga Kay	8
UCDWIvJwLJsE4LG1Atne2blQ	h3h3Productions	5
UCb8FPM22JlU-FriBrwyqoxg	Casey Neistat's Snap Stories	2
UCGq0hRjayYChtQ0cWE1WiWA	Casey Neistat Classics	2
UCznHh6gk3ewFhaTZtdQFWWw	Greg and Mitch	2
UCLHuGls4sZrWUnF8YPffgng	Mitchell Moffit	2
