source	target	interaction	directed
UCbmNph6atAoGfqLoCL_duAg	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true
UCFJcu7Lj_qmYuPhMAerryUA	UCxqyBoACUss6OxFdmFvxcXQ	pp	true
UCFJcu7Lj_qmYuPhMAerryUA	UCSmyV6P8_ir9EV4Z4tYA2QA	pp	true
UCFJcu7Lj_qmYuPhMAerryUA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCFJcu7Lj_qmYuPhMAerryUA	UCt84aUC9OG6di8kSdKzEHTQ	pp	true
UCFJcu7Lj_qmYuPhMAerryUA	UC0_ALFRaovsmae1Y8bILisQ	pp	true
UCBmwzQnSoj9b6HzNmFrg_yw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true
UCBmwzQnSoj9b6HzNmFrg_yw	UCt84aUC9OG6di8kSdKzEHTQ	pp	true
UCBmwzQnSoj9b6HzNmFrg_yw	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UCWIzrKzN4KY6BPU8hsk880Q	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCTMRxtyHoE3LPcrl-kT4AQQ	UCdIiCSqXuybzwGwJwrpHPqw	pp	true
UCL8ZULXASCc1I_oaOT0NaOQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCL8ZULXASCc1I_oaOT0NaOQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCL8ZULXASCc1I_oaOT0NaOQ	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UC9M7-jzdU8CVrQo1JwmIdWA	UCrRK02_CbvPEPrDYMQ1l49w	pp	true
